,Assortment,CompDist,CompOpen,Customers,Date,DayOfWeek,Open,Promo,Promo2,Sales,Store,StoreType,month,Preds
261,a,near,False,3669,2015-07-31,5,1,1,0,25774,262,b,07,22727.66015625
561,c,far,True,3255,2015-07-31,5,1,1,0,20303,562,b,07,18626.1953125
1376,a,near,False,3132,2015-07-30,4,1,1,0,22253,262,b,07,20755.603515625
1676,c,far,True,2984,2015-07-30,4,1,1,0,18577,562,b,07,18442.00390625
2491,a,near,False,3123,2015-07-29,3,1,1,0,21041,262,b,07,20081.255859375
2791,c,far,True,2878,2015-07-29,3,1,1,0,17137,562,b,07,19444.748046875
3606,a,near,False,3143,2015-07-28,2,1,1,0,22442,262,b,07,20513.794921875
3906,c,far,True,2956,2015-07-28,2,1,1,0,18491,562,b,07,19254.794921875
4721,a,near,False,3150,2015-07-27,1,1,1,0,22185,262,b,07,22221.005859375
5021,c,far,True,3142,2015-07-27,1,1,1,0,19680,562,b,07,19881.00390625
5836,a,near,False,4783,2015-07-26,7,1,0,0,32547,262,b,07,29619.87890625
6136,c,far,True,3397,2015-07-26,7,1,0,0,20310,562,b,07,18867.884765625
6951,a,near,False,2985,2015-07-25,6,1,0,0,17118,262,b,07,17604.99609375
7251,c,far,True,2591,2015-07-25,6,1,0,0,12281,562,b,07,12549.9990234375
8066,a,near,False,3273,2015-07-24,5,1,0,0,18985,262,b,07,18838.005859375
8366,c,far,True,3022,2015-07-24,5,1,0,0,16227,562,b,07,16299.009765625
9181,a,near,False,2895,2015-07-23,4,1,0,0,17513,262,b,07,17998.505859375
9481,c,far,True,2956,2015-07-23,4,1,0,0,16388,562,b,07,15409.6669921875
10296,a,near,False,2853,2015-07-22,3,1,0,0,17663,262,b,07,18402.494140625
10596,c,far,True,2825,2015-07-22,3,1,0,0,14832,562,b,07,15177.396484375
11411,a,near,False,3024,2015-07-21,2,1,0,0,17836,262,b,07,17530.005859375
11711,c,far,True,3016,2015-07-21,2,1,0,0,15293,562,b,07,15041.5107421875
12526,a,near,False,3062,2015-07-20,1,1,0,0,19169,262,b,07,18689.494140625
12826,c,far,True,3068,2015-07-20,1,1,0,0,17268,562,b,07,16072.74609375
13641,a,near,False,4691,2015-07-19,7,1,0,0,31665,262,b,07,29619.87890625
13941,c,far,True,3325,2015-07-19,7,1,0,0,21992,562,b,07,18867.884765625
14756,a,near,False,3188,2015-07-18,6,1,0,0,19042,262,b,07,17604.99609375
15056,c,far,True,2502,2015-07-18,6,1,0,0,12865,562,b,07,12549.9990234375
15871,a,near,False,3671,2015-07-17,5,1,1,0,22986,262,b,07,22727.66015625
16171,c,far,True,3370,2015-07-17,5,1,1,0,17687,562,b,07,18626.1953125
16986,a,near,False,3322,2015-07-16,4,1,1,0,21595,262,b,07,20755.603515625
17286,c,far,True,3075,2015-07-16,4,1,1,0,17697,562,b,07,18442.00390625
18101,a,near,False,3150,2015-07-15,3,1,1,0,20977,262,b,07,20081.255859375
18401,c,far,True,3135,2015-07-15,3,1,1,0,18810,562,b,07,19444.748046875
19216,a,near,False,3299,2015-07-14,2,1,1,0,21455,262,b,07,20513.794921875
19516,c,far,True,3214,2015-07-14,2,1,1,0,19677,562,b,07,19254.794921875
20331,a,near,False,3279,2015-07-13,1,1,1,0,22257,262,b,07,22221.005859375
20631,c,far,True,3245,2015-07-13,1,1,1,0,19638,562,b,07,19881.00390625
21446,a,near,False,4623,2015-07-12,7,1,0,0,32271,262,b,07,29619.87890625
21746,c,far,True,3202,2015-07-12,7,1,0,0,20263,562,b,07,18867.884765625
22561,a,near,False,3371,2015-07-11,6,1,0,0,17885,262,b,07,17604.99609375
22861,c,far,True,2437,2015-07-11,6,1,0,0,12331,562,b,07,12549.9990234375
23676,a,near,False,3374,2015-07-10,5,1,0,0,20519,262,b,07,18838.005859375
23976,c,far,True,3120,2015-07-10,5,1,0,0,17110,562,b,07,16299.009765625
24791,a,near,False,3114,2015-07-09,4,1,0,0,18631,262,b,07,17998.505859375
